Rank,Candidate_ID,Final_Score_Pct,Skill_Score_Pct,Similarity_Score_Pct,Required_Skills_Matched,Preferred_Skills_Matched,Total_Skills_Found
1,83816738,78.3,63.83,100.0,10,10,39
2,37242217,48.97,53.19,42.635171632345156,10,5,19
3,20824105,45.85,25.53,76.34074394915876,4,4,15
4,28126340,42.39,44.68,38.95467117221255,8,5,17
5,10641230,41.88,38.3,47.2541717077522,8,2,14
6,20674668,41.72,42.55,40.470686726555435,8,4,19
7,10089434,41.6,42.55,40.178268161117366,7,6,22
8,18067556,41.34,46.81,33.13623312159837,8,6,22
9,13405733,40.76,34.04,50.83726490167654,5,6,14
10,29051656,40.59,36.17,47.23125364547007,5,7,15
11,16186411,40.45,34.04,50.07430348503155,6,4,21
12,20879311,39.44,38.3,41.1535650206149,6,6,17
13,70089206,38.49,36.17,41.96855768848429,7,3,13
14,46260230,38.33,42.55,31.989415519950192,7,6,16
15,26746496,38.22,34.04,44.49877382699423,6,4,21
16,31111279,36.8,38.3,34.54335938159449,7,4,12
17,51639418,36.5,40.43,30.605544024316288,7,5,13
18,52246737,36.08,29.79,45.50409360545039,5,4,14
19,12763627,35.42,34.04,37.49992953193754,6,4,19
20,36434348,34.65,29.79,41.94051564594052,5,4,11
21,31243710,34.02,29.79,40.363006188959396,5,4,12
22,30223363,33.89,40.43,24.09029630571026,8,3,16
23,18301617,33.65,40.43,23.478103558751364,8,3,13
24,17688766,33.53,34.04,32.770628475284944,5,6,13
25,29975124,32.96,29.79,37.70979495522355,5,4,13
26,17641670,32.75,34.04,30.804971181729808,5,6,16
27,18187364,32.48,19.15,52.46870206992488,3,3,11
28,39413067,31.99,34.04,28.90390173513941,7,2,12
29,27295996,30.81,31.91,29.16397725663295,6,3,12
30,10265057,30.73,27.66,35.3246188586838,6,1,10
31,81761658,30.62,38.3,19.08959514116646,6,6,15
32,32959732,30.57,34.04,25.370277775854287,6,4,14
33,28897981,30.38,34.04,24.90234953895651,6,4,13
34,15791766,29.74,27.66,32.85707652597102,5,3,11
35,22450718,28.93,27.66,30.827289281898324,4,5,11
36,17111768,28.87,34.04,21.11016642035427,6,4,12
37,20001721,28.79,25.53,33.67583665339875,4,4,13
38,52618188,28.32,31.91,22.92381611502882,5,5,12
39,15651486,28.06,29.79,25.456783156432156,5,4,12
40,13385306,27.71,21.28,37.35203253108706,3,4,10
41,33381211,27.57,29.79,24.248321043348454,4,6,14
42,11957080,27.16,29.79,23.226184168752233,6,2,14
43,22776912,27.02,27.66,26.063249848988963,4,5,11
44,10247517,26.81,31.91,19.170314980338215,6,3,11
45,19796840,26.78,29.79,22.27601050181673,4,6,13
46,51363762,26.74,27.66,25.361420938080638,5,3,10
47,11584809,26.67,27.66,25.176299864122527,5,3,12
48,25990239,26.65,29.79,21.949607839503983,6,2,11
49,28697203,26.11,17.02,39.74182073195392,3,2,11
50,90867631,25.98,29.79,20.266666030564426,5,4,11
51,18159866,25.67,25.53,25.874525016679108,3,6,10
52,27536013,25.4,23.4,28.40284696479093,4,3,10
53,27372171,25.39,27.66,21.975882035627755,4,5,14
54,27770859,25.29,29.79,18.53896648329266,5,4,13
55,29075857,25.07,27.66,21.182838263673837,5,3,11
56,18176523,24.89,21.28,30.303879254719845,3,4,9
57,12635195,24.78,19.15,33.22322766397846,4,1,7
58,66832845,24.64,19.15,32.87078788432835,3,3,10
59,91697974,24.62,25.53,23.246284020163255,4,4,11
60,25959103,24.58,23.4,26.361046488748897,4,3,9
61,36856210,24.46,21.28,29.227023285101055,4,2,9
62,35325329,24.44,21.28,29.171003944853922,4,2,11
63,27058381,23.84,27.66,18.119921871579134,5,3,11
64,23864648,23.5,19.15,30.018450382850897,2,5,9
65,11580408,23.49,23.4,23.637192021166427,4,3,8
66,10840430,23.26,25.53,19.863755897373984,5,2,9
67,24913648,23.2,21.28,26.08915345730154,3,4,10
68,24889109,23.05,19.15,28.91131596723932,2,5,10
69,26480367,22.91,23.4,22.17004436864768,5,1,8
70,27485716,22.69,21.28,24.803128884270702,4,2,7
71,26801767,22.59,23.4,21.379968082353173,4,3,10
72,38753827,22.42,25.53,17.766322615904734,4,4,12
73,14789139,22.4,23.4,20.89325862410827,4,3,8
74,57002858,21.98,23.4,19.840470065463347,4,3,8
75,20237244,21.74,19.15,25.621068218585975,2,5,10
76,19850482,20.7,19.15,23.016890858701935,3,3,9
77,16533554,20.5,19.15,22.529736254079552,3,3,9
78,24020470,20.21,23.4,15.416246919951135,3,5,10
79,25905275,20.17,21.28,18.496902607741845,3,4,8
80,91635250,19.89,17.02,24.204057097894903,3,2,6
81,17681064,19.77,17.02,23.89487901193944,2,4,7
82,33241454,19.36,19.15,19.678384804396977,4,1,7
83,10553553,19.28,19.15,19.476533071034197,4,1,9
84,41344156,19.01,21.28,15.61290201455268,3,4,9
85,16899268,18.42,12.77,26.89129627562042,2,2,7
85,21283365,18.42,14.89,23.706749280734723,2,3,7
87,24038620,18.23,17.02,20.037862508744926,2,4,8
88,92069209,17.75,17.02,18.83805198286453,3,2,6
89,28035460,17.46,14.89,21.309714067026512,3,1,6
90,25207620,17.42,17.02,18.0089248193351,3,2,6
91,68460556,17.18,14.89,20.61153924796161,3,1,6
92,28672970,17.14,17.02,17.322857652572516,3,2,7
93,13836471,16.56,14.89,19.065843573435284,2,3,7
94,20024870,16.51,14.89,18.945809588722017,3,1,8
95,89413122,16.49,14.89,18.87820029634826,3,1,8
96,15118506,16.16,14.89,18.058328901418946,2,3,8
97,40018190,15.96,17.02,14.379547778469922,3,2,6
98,21780877,15.92,19.15,11.069479994324182,4,1,6
99,13477922,15.83,10.64,23.62023318219963,2,1,5
100,26768723,15.72,14.89,16.954480975167385,3,1,6
101,19201175,15.36,17.02,12.876054200087214,3,2,6
102,15802627,15.33,12.77,19.17967333646107,2,2,6
103,23666211,15.19,14.89,15.646541812092558,2,3,6
104,15297298,14.22,12.77,16.391153093276266,2,2,7
105,23527321,14.12,14.89,12.966822526401986,2,3,8
106,17987433,13.14,12.77,13.697576505292561,2,2,7
107,79541391,13.01,10.64,16.565530381484127,2,1,5
108,37764298,12.74,14.89,9.523685841914203,3,1,6
109,12045067,12.09,10.64,14.261391066875545,2,1,5
110,24083609,11.4,6.38,18.94142878773561,1,1,3
111,39718499,11.29,12.77,9.077451508819795,2,2,6
111,48037995,11.29,12.77,9.063857952517905,2,2,6
113,91121135,10.83,12.77,7.921012560754654,2,2,5
114,24230851,9.59,10.64,8.009099887646274,1,3,5
115,12334140,9.58,12.77,4.787302420067536,2,2,6
116,64017585,8.92,8.51,9.533616611298074,1,2,5
117,20408458,8.48,8.51,8.43491062815781,1,2,5
118,25857360,7.7,10.64,3.29338406940737,2,1,5
119,18752129,7.17,6.38,8.355916343300557,1,1,4
120,10839851,6.04,2.13,11.89488689983248,0,1,3
